Player Name,Team,Mat,Inns,NO,Runs,Ave,SR
Aaron Jones,United States of America,6,6,2,162,40.5,135
Aasif Sheikh,Nepal,3,3,0,63,21,88.73
MM Ali,England,8,5,0,71,14.2,139.21
KIC Asalanka,Sri Lanka,3,3,0,71,23.66,139.21
Ayaan Khan,Oman,4,4,1,93,31,97.89
Babar Azam,Pakistan,4,4,1,122,40.66,101.66
JM Bairstow,England,8,6,2,110,27.5,134.14
RD Berrington,Scotland,4,3,2,102,102,139.72
HC Brook,England,8,4,2,145,72.5,157.6
JC Buttler,England,8,7,2,214,42.8,158.51
J Charles,West Indies,6,6,0,140,23.33,113.82
RL Chase,West Indies,6,3,1,94,47,130.55
PJ Cummins,Australia,5,3,1,14,7,82.35
Q de Kock,South Africa,9,9,0,243,27,140.46
S Dube,India,8,8,2,133,22.16,114.65
MG Erasmus,Namibia,4,4,1,102,34,109.67
AGS Gous,United States of America,6,6,1,219,43.8,151.03
Gulbadin Naib,Afghanistan,8,8,1,90,12.85,104.65
TM Head,Australia,7,7,1,255,42.5,158.38
RR Hendricks,South Africa,9,9,1,113,14.12,87.59
SD Hope,West Indies,3,3,1,107,53.5,187.71
Ibrahim Zadran,Afghanistan,8,8,0,231,28.87,107.44
Iftikhar Ahmed,Pakistan,2,2,0,23,11.5,100
RA Jadeja,India,8,5,2,35,11.66,159.09
A Johnson,Canada,3,3,0,89,29.66,121.91
MA Jones,Scotland,4,4,1,89,29.66,134.84
H Klaasen,South Africa,9,8,2,190,31.66,126.66
V Kohli,India,8,8,0,151,18.87,112.68
NR Kumar,United States of America,6,5,1,99,24.75,115.11
Litton Das,Bangladesh,7,7,1,139,23.16,93.28
LS Livingstone,England,8,4,0,72,18,146.93
Mahmudullah,Bangladesh,7,7,1,95,15.83,94.05
AK Markram,South Africa,9,9,1,123,15.37,100.81
MR Marsh,Australia,7,7,1,125,20.83,116.82
GJ Maxwell,Australia,7,6,1,132,26.4,141.93
DA Miller,South Africa,9,8,2,169,28.16,102.42
Mohammad Rizwan,Pakistan,4,4,1,110,36.66,90.9
Najmul Hossain Shanto,Bangladesh,7,7,0,112,16,95.72
HH Pandya,India,8,6,3,144,48,151.57
RR Pant,India,8,8,1,171,24.42,127.61
AR Patel,India,8,5,1,92,23,139.39
N Pooran,West Indies,7,7,1,228,38,146.15
R Powell,West Indies,7,6,0,102,17,143.66
Rahmanullah Gurbaz,Afghanistan,8,8,0,281,35.12,124.33
SE Rutherford,West Indies,7,6,3,121,40.33,147.56
PD Salt,England,8,7,2,188,37.6,159.32
Shakib Al Hasan,Bangladesh,7,7,1,111,18.5,106.73
RG Sharma,India,8,8,1,257,36.71,156.7
MP Stoinis,Australia,7,5,1,169,42.25,164.07
T Stubbs,South Africa,9,8,3,165,33,101.22
Towhid Hridoy,Bangladesh,7,7,0,153,21.85,128.57
DA Warner,Australia,7,7,1,178,29.66,139.06
KS Williamson,New Zealand,4,3,1,28,14,87.5
SA Yadav,India,8,8,1,199,28.42,135.37
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
Rishab,Afghanistan,8,8,1,90,12.85,104.65
